budget,id,original_language,popularity,release_date,revenue,runtime,title,vote_average,vote_count,genres_list,production_countries_list,cast_names,director,roi,release_year,release_decade,runtime_category,rating_category
11000000.0,13888,en,9.705589,1991-08-02,2807854.0,98.0,Return to the Blue Lagoon,5.1,153,"['Drama', 'Adventure', 'Romance']",['Fiji'],"['Milla Jovovich', 'Brian Krause', 'Lisa Pelikan', 'Courtney Barilla', 'Garette Ratliff Henson', 'Brian Blain', 'Emma James', 'Jackson Barton', 'Nana Coburn', 'Peter Hehir', 'Alexander Petersons', 'John Mann', 'Wayne Pygram', 'John Dicks', 'Gus Mercurio']",William A. Graham,0.25525945454545457,1991,1990,Media (1-2h),Medio
11000000.0,42345,en,1.396985,1970-01-27,2200000.0,124.0,The Molly Maguires,5.9,16,"['Drama', 'History']",['United States of America'],"['Sean Connery', 'Samantha Eggar', 'Richard Harris', 'Frank Finlay', 'Anthony Zerbe', 'Bethel Leslie', 'Art Lund', 'Philip Bourneuf', 'Ian Abercrombie']",Martin Ritt,0.2,1970,1970,Larga (2-3h),Medio
,13994,en,4.056774,2005-09-13,2945242.0,105.0,Romance & Cigarettes,6.0,33,"['Comedy', 'Music', 'Romance']",['United States of America'],"['James Gandolfini', 'Susan Sarandon', 'Kate Winslet', 'Steve Buscemi', 'Mandy Moore', 'Mary-Louise Parker', 'Christopher Walken', 'Eddie Izzard', 'Aida Turturro', 'Bobby Cannavale', 'John Turturro']",John Turturro,,2005,2000,Media (1-2h),Medio
11000000.0,1590,en,5.062687,2006-09-10,,104.0,Copying Beethoven,6.2,42,['Drama'],"['Germany', 'United States of America']","['Ed Harris', 'Diane Kruger', 'Matthew Goode', 'Phyllida Law', 'Ralph Riach', 'Bill Stewart', 'Angus Barnett', 'Viktoria Dihen', 'Matyelok Gibbs']",Agnieszka Holland,,2006,2000,Media (1-2h),Alto
,62728,en,3.122152,2010-09-13,,111.0,Brighton Rock,5.6,35,"['Drama', 'Thriller', 'Crime']",['United Kingdom'],"['Andy Serkis', 'Helen Mirren', 'John Hurt', 'Sam Riley', 'Andrea Riseborough', 'Sean Harris', 'Phil Davis', 'Nonso Anozie', 'Craig Parkinson', 'Geoff Bell', 'Steven Robertson', 'Maurice Roeves', 'Steve Evets', 'Francis Magee', 'Adrian Schiller', 'Pauline Melville', 'Mona Goodwin', 'Kerrie Hayes', 'Lexy Howe', 'Dennis Banks', 'Tom Austen']",Rowan Joffe,,2010,2010,Media (1-2h),Medio
10800000.0,11917,en,32.943848,2008-10-23,113857533.0,92.0,Saw V,5.9,820,"['Horror', 'Thriller', 'Crime']",['United States of America'],"['Tobin Bell', 'Costas Mandylor', 'Scott Patterson', 'Betsy Russell', 'Mark Rolston', 'Julie Benz', 'Carlo Rota', 'Meagan Good', 'Shawnee Smith', 'Greg Bryk', 'Sheila Shah', 'Niamh Wilson']",David Hackl,10.542364166666667,2008,2000,Media (1-2h),Medio
,45138,it,0.700127,1969-04-01,,116.0,Machine Gun McCain,7.3,6,"['Drama', 'Action', 'Thriller', 'Crime', 'Foreign']",['Italy'],"['John Cassavetes', 'Britt Ekland', 'Peter Falk', 'Gabriele Ferzetti', 'Margherita Guzzinati', 'Claudio Biava', 'Steffen Zacharias', 'James Morrison', 'Florinda Bolkan', 'Tony Kendall', 'Salvo Randone', 'Gena Rowlands', 'Maria Mizar', 'Euplio Moscusu', 'Luigi Pistilli']",Giuliano Montaldo,,1969,1960,Media (1-2h),Alto
11000000.0,80271,en,31.763201,2012-02-10,,97.0,LOL,5.9,881,"['Drama', 'Comedy', 'Romance']",['United States of America'],"['Miley Cyrus', 'Demi Moore', 'Douglas Booth', 'Ashley Greene', 'Ashley Hinshaw', 'Thomas Jane', 'Jay Hernandez', 'Jean-Luc Bilodeau', 'Fisher Stevens', 'Gina Gershon', 'Adam G. Sevani', 'Austin Nichols', 'Marlo Thomas', 'Michelle Burke', 'Nora Dunn', 'Loretta Higgins', 'Dennis North', 'Vivian Le Borgne', 'Bridget Brown', 'Jim Carrane', 'Woody Carter', 'Felix Dayan', 'Sam Derence', 'Lina Esco', 'Trevor Fahnstrom', 'George Finn', 'Rebecca Finnegan', 'Alix Freihage', 'Lynnette Gaza', 'Ashley Grace', 'Vichaan Kue', 'Madelyn Lasky', 'Emma Nolan', 'Delphine Pontvieux', 'Leisa Pulido', 'Barbara Robertson', 'Russell Steinberg', 'Brady Tutton', 'Tanz Watson', 'Armon York Williams', 'Tedra Millan', 'Ismail Abdul-Aziz', 'Ismail Abdul-Aziz', 'Arnold Agee', 'Sydney Alton', 'Mike Ancrile', 'Cara AnnMarie', 'Chris Astoyan', 'Apollo Bacala', 'Elias Bahri', 'Christina M. Bender', 'Andrew Biesen', 'Mark Bonto', 'Ewan Bourne', 'Randal Bruce', 'Ron Causey ', 'Abbie Dunn', 'Jay Harper', 'Pennie-Marie Hawkins', 'Mathew Jadan', 'Ericka Johnson', 'Demi Kazanis', 'Joe Kras', 'Don Kress', 'Fox Langenkamp', 'Chameria Law', 'Dervis Lici', 'Bryan Matti', 'Joshua McCarthy', 'Matt McClelland', 'Kristen Paul', 'Dwayne Roszkowski', 'Joey Segars', 'Barbara Szeman', 'Eric Tuchelske', 'Amanda Wright']",Lisa Azuelos,,2012,2010,Media (1-2h),Medio
,4657,en,8.950864,2006-07-20,,123.0,Jindabyne,5.7,25,"['Crime', 'Drama', 'Mystery', 'Thriller']",['Australia'],"['Laura Linney', 'Gabriel Byrne', 'Deborra-Lee Furness', 'John Howard', 'Leah Purcell', 'Stelios Yiakmis', 'Alice Garner', 'Simon Stone', 'Betty Lucas', 'Chris Haywood', 'Max Cullen', 'Tatea Reilly', 'Eva Lazzaro', 'Sean Rees-Wemyss', 'Charles Tingwell', 'Ursula Yovich']",Ray Lawrence,,2006,2000,Larga (2-3h),Medio
7400000.0,14395,hi,3.246903,2006-08-11,17000000.0,193.0,Kabhi Alvida Naa Kehna,6.1,42,"['Drama', 'Romance']",['India'],"['Shah Rukh Khan', 'Rani Mukerji', 'Preity Zinta', 'Abhishek Bachchan', 'Amitabh Bachchan', 'John Abraham', 'Kirron Kher', 'Ahsaas Channa', 'Kajol', 'Arjun Rampal', 'Karan Johar']",Karan Johar,2.2972972972972974,2006,2000,Muy Larga (>3h),Alto
